ENTITY_NAME,FECHA_TARGET,MOTIVO
Deutsche Bank Perú,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
CMAC Sullana,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
CRAC Cajamarca,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
CRAC RAIZ,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
CRAC Sipán,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
Amérika Financiera,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
Financiera Credinka,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
Financiera TFC S.A.,2026-09-30,Entidad con evento de intervencion SBS confirmado antes o durante la ventana de prediccion
